Name,Aura,CL,Slot,Price,Weight,Description,Requirements,Cost,Group,Source,AL,Int,Wis,Cha,Ego,Communication,Senses,Powers,MagicItems,FullText,Destruction,MinorArtifactFlag,MajorArtifactFlag,Abjuration,Conjuration,Divination,Enchantment,Evocation,Necromancy,Transmutation,AuraStrength,WeightValue,PriceValue,CostValue,Languages,BaseItem,LinkText,id,Mythic,LegendaryWeapon,Illusion,Universal,Scaling,IsIntelligentItem
Manual of Gainful Exercise +2,strong evocation (if miracle is used),17,none,"55,000 gp",5 lbs.,"This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","52,500 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Gainful Exercise +2</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>55,000 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>52,500 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,55000,52500,,,Manual of Gainful Exercise +2,463,0,0,0,0,,0
Manual of Gainful Exercise +3,strong evocation (if miracle is used),17,none,"82,500 gp",5 lbs.,"This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","78,750 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Gainful Exercise +3</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>82,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>78,750 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,82500,78750,,,Manual of Gainful Exercise +3,464,0,0,0,0,,0
Manual of Gainful Exercise +4,strong evocation (if miracle is used),17,none,"110,000 gp",5 lbs.,"This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","105,000 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Gainful Exercise +4</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>110,000 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>105,000 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,110000,105000,,,Manual of Gainful Exercise +4,465,0,0,0,0,,0
Manual of Gainful Exercise +5,strong evocation (if miracle is used),17,none,"137,500 gp",5 lbs.,"This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","131,250 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Gainful Exercise +5</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>137,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>131,250 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,137500,131250,,,Manual of Gainful Exercise +5,466,0,0,0,0,,0
Manual of Quickness of Action +1,strong evocation (if miracle is used),17,none,"27,500 gp",5 lbs.,"This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","26,250 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Quickness of Action +1</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>27,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>26,250 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,27500,26250,,,Manual of Quickness of Action +1,467,0,0,0,0,,0
Manual of Quickness of Action +2,strong evocation (if miracle is used),17,none,"55,000 gp",5 lbs.,"This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","52,500 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Quickness of Action +2</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>55,000 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>52,500 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,55000,52500,,,Manual of Quickness of Action +2,468,0,0,0,0,,0
Manual of Quickness of Action +3,strong evocation (if miracle is used),17,none,"82,500 gp",5 lbs.,"This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","78,750 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Quickness of Action +3</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>82,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>78,750 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,82500,78750,,,Manual of Quickness of Action +3,469,0,0,0,0,,0
Manual of Quickness of Action +4,strong evocation (if miracle is used),17,none,"110,000 gp",5 lbs.,"This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","105,000 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Quickness of Action +4</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>110,000 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>105,000 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,110000,105000,,,Manual of Quickness of Action +4,470,0,0,0,0,,0
Manual of Quickness of Action +5,strong evocation (if miracle is used),17,none,"137,500 gp",5 lbs.,"This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, wish or miracle","131,250 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Manual of Quickness of Action +5</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>137,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>wish or miracle</i>; <b>Cost </b>131,250 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,137500,131250,,,Manual of Quickness of Action +5,471,0,0,0,0,,0
Tome of Clear Thought +1,strong evocation (if miracle is used),17,none,"27,500 gp",5 lbs.,"This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","26,250 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Clear Thought +1</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>27,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>26,250 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,27500,26250,,,Tome of Clear Thought +1,472,0,0,0,0,,0
Tome of Clear Thought +2,strong evocation (if miracle is used),17,none,"55,000 gp",5 lbs.,"This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","52,500 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Clear Thought +2</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>55,000 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>52,500 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,55000,52500,,,Tome of Clear Thought +2,473,0,0,0,0,,0
Tome of Clear Thought +3,strong evocation (if miracle is used),17,none,"82,500 gp",5 lbs.,"This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","78,750 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Clear Thought +3</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>82,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>78,750 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,82500,78750,,,Tome of Clear Thought +3,474,0,0,0,0,,0
Tome of Clear Thought +4,strong evocation (if miracle is used),17,none,"110,000 gp",5 lbs.,"This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","105,000 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Clear Thought +4</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>110,000 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>105,000 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,110000,105000,,,Tome of Clear Thought +4,475,0,0,0,0,,0
Tome of Clear Thought +5,strong evocation (if miracle is used),17,none,"137,500 gp",5 lbs.,"This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","131,250 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Clear Thought +5</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>137,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This heavy book contains instruction on improving memory and logic, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Intelligence score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>131,250 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,137500,131250,,,Tome of Clear Thought +5,476,0,0,0,0,,0
Tome of Leadership and Influence +1,strong evocation (if miracle is used),17,none,"27,500 gp",5 lbs.,"This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to his Charisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","26,250 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Leadership and Influence +1</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>27,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to his Charisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>26,250 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,27500,26250,,,Tome of Leadership and Influence +1,477,0,0,0,0,,0
Tome of Leadership and Influence +3,strong evocation (if miracle is used),17,none,"82,500 gp",5 lbs.,"This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to his Charisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","78,750 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Leadership and Influence +3</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>82,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to his Charisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>78,750 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,82500,78750,,,Tome of Leadership and Influence +3,478,0,0,0,0,,0
Tome of Leadership and Influence +4,strong evocation (if miracle is used),17,none,"110,000 gp",5 lbs.,"This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to his Charisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","105,000 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Leadership and Influence +4</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>110,000 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to his Charisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>105,000 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,110000,105000,,,Tome of Leadership and Influence +4,479,0,0,0,0,,0
Tome of Leadership and Influence +5,strong evocation (if miracle is used),17,none,"137,500 gp",5 lbs.,"This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to his Charisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","131,500 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Leadership and Influence +5</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>137,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This ponderous book details suggestions for persuading and inspiring others, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of tome) to his Charisma score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>131,500 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,137500,131500,,,Tome of Leadership and Influence +5,480,0,0,0,0,,0
Tome of Understanding +1,strong evocation (if miracle is used),17,none,"27,500 gp",5 lbs.,"This thick book contains tips for improving instinct and perception, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Wisdom score. Once the book is read, the magic disappears from the pages and it becomes a normal book.","Craft Wondrous Item, miracle or wish","26,250 gp",Wondrous Item,PFRPG Core,,,,,,,,,,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Tome of Understanding +1</p><div style=""clear: both;""></div></div><div><h5><b>Aura </b>strong evocation (if miracle is used); <b>CL </b>17th</h5><h5><b>Slot </b>-; <b>Price </b>27,500 gp; <b>Weight </b>5 lbs.</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This thick book contains tips for improving instinct and perception, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of tome) to her Wisdom score. Once the book is read, the magic disappears from the pages and it becomes a normal book.</p></h4></div><hr/><div><h5><b>CONSTRUCTION</b></h5></div><hr/><div><h5><b>Requirements </b>Craft Wondrous Item, <i>miracle or wish</i>; <b>Cost </b>26,250 gp</h5></div>",,0,0,0,0,0,0,1,0,0,strong,5,27500,26250,,,Tome of Understanding +1,481,0,0,0,0,,0
